City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
158,nieuw amsterdam,5.8833,5.8833,82.56,74,40,4.61,SR,1681587119
159,nanortalik,60.1432,60.1432,36.77,76,100,5.53,GL,1681587031
160,usinsk,65.9939,65.9939,1.78,94,22,6.24,RU,1681587120
161,alta gracia,-31.6529,-31.6529,66.88,52,100,4.85,AR,1681587120
162,sobolevo,54.4299,54.4299,39.04,50,100,12.75,RU,1681587120
163,barbastro,42.0356,42.0356,57.38,44,81,9.06,ES,1681587120
164,hasaki,35.7333,35.7333,57.22,92,100,9.13,JP,1681587120
165,komatipoort,-25.4332,-25.4332,68.05,88,71,2.91,ZA,1681587121
166,farah,32.5,32.5,71.53,20,100,3.15,AF,1681587121
167,tateyama,34.9833,34.9833,63.12,98,100,14.99,JP,1681587121
168,tuy hoa,13.0833,13.0833,77.86,90,100,1.61,VN,1681587122
169,praia da vitoria,38.7333,38.7333,66.45,82,75,23.58,PT,1681587122
170,corinto,37.9407,37.9407,60.89,72,93,5.41,GR,1681587122
171,la ronge,55.1001,55.1001,44.82,52,75,2.3,CA,1681587113
172,tautira,-17.7333,-17.7333,80.22,78,21,13.51,PF,1681587123
173,taltal,-25.4,-25.4,69.49,69,39,8.41,CL,1681587123
174,mbekenyera,-10.0,-10.0,69.89,97,63,3.27,TZ,1681587123
175,talnakh,69.4865,69.4865,-23.55,85,2,3.62,RU,1681587124
176,tunceli,39.1083,39.1083,53.65,73,26,2.08,TR,1681587124
177,christchurch,-43.5333,-43.5333,58.91,85,75,9.22,NZ,1681586958
178,guymon,36.6828,36.6828,56.23,27,95,23.96,US,1681587124
179,faanui,-16.4833,-16.4833,81.1,72,51,4.36,PF,1681587124
180,ulladulla,-35.35,-35.35,65.77,63,100,7.99,AU,1681587124
181,dunedin,-45.8742,-45.8742,53.8,81,9,5.99,NZ,1681587117
182,clyde river,70.4692,70.4692,12.43,79,100,23.02,CA,1681587125
183,touros,-5.1989,-5.1989,79.27,85,100,12.08,BR,1681587125
184,vaini,-21.2,-21.2,77.16,88,75,11.5,TO,1681587125
185,cayenne,4.9333,4.9333,82.44,78,75,11.5,GF,1681587011
186,hobart,-42.8794,-42.8794,56.26,95,100,10.36,AU,1681586844
187,bom jesus da lapa,-13.255,-13.255,96.91,23,68,7.09,BR,1681586939
188,lavrentiya,65.5833,65.5833,3.6,76,83,1.25,RU,1681587126
189,novobirilyussy,56.9514,56.9514,8.74,96,26,2.37,RU,1681587126
190,chokurdakh,70.6333,70.6333,5.58,96,87,9.6,RU,1681587050
191,sernovodsk,43.3117,43.3117,45.59,84,100,6.91,RU,1681587127
192,labuhan,-6.8844,-6.8844,76.35,90,64,10.02,ID,1681587083
193,verkhoyansk,67.5447,67.5447,11.88,97,100,1.21,RU,1681587127
194,ahero,-0.1746,-0.1746,71.58,88,89,3.04,KE,1681587127
195,dhidhdhoo,6.8833,6.8833,82.8,73,21,4.63,MV,1681587128
196,bethel,41.3712,41.3712,79.03,88,100,8.05,US,1681587128
197,marihatag,8.7936,8.7936,77.99,88,34,4.34,PH,1681587128
198,nishihara,26.1842,26.1842,69.08,81,75,13.8,JP,1681587128
199,lorengau,-2.0226,-2.0226,81.91,80,96,12.17,PG,1681587128
200,laguna,38.421,38.421,69.17,57,0,6.91,US,1681586967
201,liuzhou,24.3126,24.3126,67.84,73,9,1.3,CN,1681587129
202,ola,59.5833,59.5833,18.52,80,97,11.18,RU,1681587129
203,egvekinot,66.3167,66.3167,0.28,84,100,0.27,RU,1681587130
204,tuktoyaktuk,69.4541,69.4541,3.2,85,100,9.22,CA,1681587130
205,sitka,57.0531,57.0531,44.49,65,100,18.41,US,1681587130
206,hamilton,39.1834,39.1834,80.78,50,75,10.36,US,1681587131
207,ixtapa,20.7,20.7,79.83,50,20,10.36,MX,1681587131
208,bandundu,-3.3167,-3.3167,78.6,75,66,4.38,CD,1681587131
209,burgos,42.3394,42.3394,48.61,76,100,16.11,ES,1681587131
210,sambava,-14.2667,-14.2667,78.01,85,38,9.98,MG,1681587131
211,dikson,73.5069,73.5069,-0.9,100,100,9.64,RU,1681587131
212,muriti,-1.9833,-1.9833,73.92,74,24,9.91,TZ,1681587132
213,fort nelson,58.8053,58.8053,45.95,40,75,5.01,CA,1681587132
214,broome,42.2506,42.2506,77.77,51,40,6.91,US,1681587132
215,kavaratti,10.5669,10.5669,83.3,77,93,5.3,IN,1681587132
216,baleno,12.4739,12.4739,80.82,80,21,2.84,PH,1681587136
217,hovd,48.0056,48.0056,52.75,41,45,11.79,MN,1681587136
218,amga,60.8953,60.8953,16.16,93,53,5.14,RU,1681587136
219,aviles,43.5547,43.5547,59.38,85,100,3.44,ES,1681587136
220,poya,-21.35,-21.35,72.7,95,100,4.07,NC,1681587137
